1.108401133793083942e-01,1.050213762082528822e-06,3.906711985542928312e-01,1.045833818933815570e-06,3.743004212584140067e-01,4.524076067386705036e-02,3.727084567340428756e-02
3.949895243548080803e-02,1.009166550258649777e-06,5.279627368374297802e-01,1.843295432564321879e-06,5.475268834809606799e-01,6.263805562039505281e-02,5.033722659044119474e-02
9.684685416397001423e-02,1.035422740524818838e-06,3.895674259454149357e-01,1.037026124141464545e-06,3.918632395290637671e-01,4.391279381652246627e-02,4.304713753828245948e-02
1.108017904935500592e-01,1.032832844771126313e-06,3.827081221786900467e-01,1.023319615510608521e-06,3.798584910875955067e-01,4.561053148268250090e-02,3.929972949289555623e-02
3.564134044822526298e-02,1.040893997554216826e-06,3.178137373916453678e-01,1.154613519111786055e-06,4.956941297633521426e-01,5.435861880002849228e-02,4.113290304113937507e-02
3.875432505532215577e-02,1.000039760179327439e-06,4.774030078757647844e-01,1.000000000000000590e-06,7.783098853994074862e-01,9.503913291773613548e-02,4.272486308630422253e-02
3.641551127230100576e-02,1.000680944264925563e-06,5.646063196246275950e-01,1.006518018058283013e-06,5.760886031557370668e-01,6.684526926783086742e-02,4.191102423818396372e-02
1.066493158583574352e-01,1.006505102040852715e-06,3.786874543669378479e-01,1.008063705814481135e-06,3.774435219122949103e-01,4.577321254720673194e-02,4.392261593398306962e-02
3.927185561220321308e-02,1.219443128597036557e-06,2.066454381934834314e-02,1.004489721190954430e-06,8.872748283885383280e-01,1.121237965053344110e-01,3.270305766990347363e-02
1.217401023348178846e-01,1.040800570529623449e-06,7.736820677587945561e-01,1.480144645792409360e-06,3.087663578865832426e-01,3.394805721305824142e-02,4.519174829275332539e-02
1.189807716348314504e-01,1.000615449075487819e-06,3.391406779926892101e-01,1.000000000000000378e-06,4.385392201936114120e-01,5.497241845820961814e-02,4.724212837176146318e-02
1.062869832483583077e-01,1.310016376303210118e-06,2.947220475387066774e-01,1.001065162999875466e-06,3.531635489897168023e-01,4.070887121180833540e-02,4.311412984919359148e-02
9.874482785359506298e-02,1.039860463708461567e-06,3.841137577586167251e-01,1.024815682960686181e-06,3.816772644251315016e-01,4.527496862411213574e-02,4.364965138607871525e-02
9.772463503316200506e-02,1.040939734288463413e-06,3.817745892397422791e-01,1.041041158734477808e-06,3.655705662582207638e-01,4.471075479609885883e-02,4.483902456614734938e-02
