1.217769027701846585e-01,1.007086693672112989e-06,3.387643296016345507e-01,1.007727539666846756e-06,4.500282891587336076e-01,5.668382748949265387e-02,4.148392183009556866e-02
4.563852676272979469e-02,1.000000000000000590e-06,3.046286844629954027e-01,1.604607617059550497e-06,8.663659439823088171e-01,1.107949354470933040e-01,4.552304066380753744e-02
8.576674806548030716e+00,1.002384350276355626e-06,1.000000000000062847e-06,2.412255289761004392e-05,1.897739167904759494e-01,1.716813471006156666e-02,4.664750156881886101e-02
8.678144536568418999e-02,1.002236793164281901e-06,3.905709242451055885e-01,1.043590610087398638e-06,4.515798817542069354e-01,5.361226870544721912e-02,3.487717492503231154e-02
9.806398527509031737e+00,1.984011915012125205e-02,4.009228377965365908e-01,4.059099550878256246e-03,2.143634711087595290e-01,1.712807300051889456e-02,3.392863475421778463e-02
1.171311078208546741e-01,1.104328423934080022e-06,4.561615664329230491e-01,1.124097320383102818e-06,3.367161331251720680e-01,3.814517960175378697e-02,4.138272524489208792e-02
7.251414241706902963e+00,8.298523500063512692e-01,1.000000000000183973e-06,2.665003143598751464e-06,1.990786173545707194e-01,1.673304306147543191e-02,4.656092928284157051e-02
1.036690266944309824e-01,1.116636542656953911e-06,3.651220219634449538e-01,1.143794510463386475e-06,3.425485704661417330e-01,4.133480250080216745e-02,4.298765902492769631e-02
1.068774824390146816e-01,1.291288587706004529e-06,2.899309330711723476e-01,1.000443465456177005e-06,3.317800855473970190e-01,3.774749586657493577e-02,4.371524855926968434e-02
2.397577750264785479e+00,5.785571317589024432e-01,1.000000000000000000e+01,6.429753841088835372e-05,2.481592134111019199e-01,2.007456329831161165e-02,3.464882139052215954e-02
1.131150673074369228e-01,1.010369243124784279e-06,3.620478685714166867e-01,1.019598349409271276e-06,3.763989509391552635e-01,4.510640723536982200e-02,4.715037840429847638e-02
3.716562972600975095e-02,1.318101859014925565e-06,2.999747458104577436e-01,1.004038953985560312e-06,5.502307130602416274e-01,6.207163186973509855e-02,4.246703376082151121e-02
4.138313522569704583e-02,1.901549853182938179e-06,3.784339528993041490e-02,1.059949649111969930e-06,7.146527713623320732e-01,8.502329073123676695e-02,4.508228114583680279e-02
4.090590958539919164e-02,1.022801800405144056e-06,4.975290263338436603e-01,1.076438241497578170e-06,8.323630261843661948e-01,1.038618210716938106e-01,3.674048131946540396e-02
