0, 2.6524271844660205, 0, H3N2(2003)
0, 2.6524271844660205, 0, H5N1(2005)
0, 2.6524271844660205, 0, H5N1(2022)
8, 3.2504854368932055, 1, H3N2(2003)
8, 2.951456310679612, 1, H5N1(2005)
8, 2.6252427184466036, 1, H5N1(2022)
24, 6.2815533980582545, 2, H3N2(2003)
24, 4.120388349514563, 2, H5N1(2005)
24, 4.92233009708738, 2, H5N1(2022)
48, 7.532038834951457, 3, H3N2(2003)
48, 4.256310679611651, 3, H5N1(2005)
48, 5.425242718446603, 3, H5N1(2022)
72, 7.790291262135924, 4, H3N2(2003)
72, 3.1281553398058257, 4, H5N1(2005)
72, 4.895145631067962, 4, H5N1(2022)
