0, 2.1875000000000036, 0, mock
0, 2.1875000000000036, 0, H3N2(2003)
0, 2.1875000000000036, 0, H5N1(2005)
0, 2.1875000000000036, 0, H5N1(2022)
8, 2.142857142857146, 1, mock
8, 12.946428571428573, 1, H3N2(2003)
8, 7.098214285714288, 1, H5N1(2005)
8, 12.67857142857143, 1, H5N1(2022)
24., 2.1875000000000036, 2, mock
24, 14.732142857142861, 2, H3N2(2003)
24, 12.05357142857143, 2, H5N1(2005)
24, 16.205357142857146, 2, H5N1(2022)
48, 2.1875000000000036, 3, mock
48, 18.526785714285715, 3, H3N2(2003)
48, 12.410714285714288, 3, H5N1(2005)
48, 16.383928571428573, 3, H5N1(2022)
72, 2.232142857142861, 4, mock
72, 18.571428571428577, 4, H3N2(2003)
72, 11.562500000000004, 4, H5N1(2005)
72, 12.187500000000004, 4, H5N1(2022)
