0, 2.138228941684659, 0, mock
0, 2.138228941684659, 0, H3N2(2003)
0, 2.138228941684659, 0, H5N1(2005)
0, 2.138228941684659, 0, H5N1(2022)
8, 2.2030237580993486, 1, mock
8, 3.4989200863930883, 1, H3N2(2003)
8, 2.2030237580993486, 1, H5N1(2005)
8, 5.896328293736495, 1, H5N1(2022)
24, 4.341252699784011, 2, mock
24, 8.099352051835847, 2, H3N2(2003)
24, 3.628509719222457, 2, H5N1(2005)
24, 14.384449244060473, 2, H5N1(2022)
48, 2.2030237580993486, 3, mock
48, 20.73434125269978, 3, H3N2(2003)
48, 5.961123110151181, 3, H5N1(2005)
48, 17.235421166306693, 3, H5N1(2022)
72, 2.2030237580993486, 4, mock
72, 21.96544276457883, 4, H3N2(2003)
72, 5.248380129589631, 4, H5N1(2005)
72, 25.85313174946004, 4, H5N1(2022)
