0, 2.5843920145190555, 0, H3N2(2003)
0, 2.5843920145190555, 0, H5N1(2005)
0, 2.5843920145190555, 0, H5N1(2022)
8, 2.2032667876588015, 1, H3N2(2003)
8, 3.7912885662431943, 1, H5N1(2005)
8, 3.232304900181486, 1, H5N1(2022)
24, 7.24682395644283, 2, H3N2(2003)
24, 4.566243194192377, 2, H5N1(2005)
24, 5.976406533575317, 2, H5N1(2022)
48, 8.402903811252267, 3, H3N2(2003)
48, 5.137931034482757, 3, H5N1(2005)
48, 7.907441016333937, 3, H5N1(2022)
72, 7.1197822141560785, 4, H3N2(2003)
72, 4.337568058076225, 4, H5N1(2005)
72, 7.869328493647911, 4, H5N1(2022)
