8.080777521857829271e-01,3.424384773526618631e-01,1.000000000008950340e-06,2.088442945572867304e-02,2.052740268324896866e-01,1.850029480523349840e-02,2.231319425666236644e-02
2.146589539490631471e-01,3.136979262187413950e-04,1.000000000000008213e-06,9.287593427790343317e-03,3.050328141140001836e-01,5.638794749027032510e-02,5.253952964794694064e-02
9.607188145774884447e+00,2.140462314807335176e+00,1.562186857523369826e-04,1.463983551265708033e-02,1.823926417893103613e-01,2.300950641231409161e-02,3.563902133029800412e-02
1.703201270838715364e-01,1.039439278607856045e-03,1.259430826975572289e-06,1.035755914869590684e-02,1.882160825988882236e-01,3.383337498201103438e-02,5.148943083448241642e-02
5.903002159886515665e-01,9.999999999999999547e-07,1.245277164881268669e-06,6.914661073331813609e-03,3.842975896165736205e-01,7.479367614548750043e-02,5.934079727802916981e-02
4.399764751124262574e+00,9.357807714603940674e-01,1.770526894391057928e-05,1.617297906461790530e-02,1.855145981730619287e-01,2.243512726444080174e-02,3.524020846154736486e-02
4.499387450777472819e-01,7.732532985775984139e-04,1.000486226680841485e-06,8.446915470366708409e-03,2.373302721712634011e-01,4.745891964434893057e-02,5.579211496310922114e-02
6.920704548650440380e-01,1.000000000000010754e-06,1.014895682244715464e-06,5.677034175845694849e-03,1.649921818391054118e-01,3.319559677038864953e-02,6.234646968308867748e-02
1.990198601244650978e-01,2.357700177531386887e-02,1.098474070755718464e-06,1.933838619755609556e-02,2.674175672152742100e-01,3.010257698967250262e-02,3.143486444281115566e-02
2.956795493551506171e-01,1.507228609759576812e-03,1.162634568693040375e-06,1.858729454405092657e-02,2.001855729966728059e-01,2.837479417995954906e-02,3.753051216372073340e-02
2.456221534270575657e-01,9.519594541670536262e-04,1.023509571303681128e-06,7.990370829850067247e-03,2.309082840516899771e-01,4.811485024695526247e-02,5.516245217279305835e-02
1.813738033007189498e-01,9.999999999999999547e-07,1.352039311188983550e-06,8.679218814899664070e-03,4.009167392322546264e-01,7.269107755921513925e-02,5.508363411064536030e-02
2.472238732802832240e-01,9.999999999999999547e-07,1.018435792456730000e-06,1.586705828491039721e-02,2.349888178761674884e-01,3.663370798882227553e-02,4.265134216072266615e-02
3.955052278150398837e-01,1.286960535160664587e-06,1.251158303674910796e-06,1.135030704841671206e-02,2.176074438484452978e-01,3.619566355779500755e-02,4.944373456146260171e-02
