9.999670042682591742e+00,1.058342853919991507e-06,2.806665971482483202e-02,1.727681669664315328e-02,1.392050095823602618e-01,1.001112254180497658e-06,2.208469598055785160e-02
3.603820927219414383e-01,3.653414197913813210e-06,5.126149101229171556e-01,1.710032155628720546e-02,2.320518454752311110e-01,9.945835601517506036e-03,2.315133586016691197e-02
9.738803399246563686e+00,1.482015725733002549e-06,9.469721068555966070e+00,2.357391533744199880e-02,1.721649979246729911e-01,1.468184880089551999e-03,1.620272894120409340e-02
1.962183886897844176e-01,1.324499510210552130e-05,1.000000000000000000e+01,1.646240557678787381e-02,1.467502757024810589e-01,2.591270569034446224e-06,2.242604503410776384e-02
2.466629752255077301e-01,2.512123466662380874e-06,8.668982293634692748e-01,1.232580361145202072e-02,1.997721896749521109e-01,8.042926946041369096e-03,2.769276049796408345e-02
1.929721945198054067e-01,1.000000000000000590e-06,6.545654294608484136e+00,2.076300722524027087e-02,2.086916903801915024e-01,3.810261212834628076e-03,1.768506890828948352e-02
9.999838656296482498e+00,1.637923985090310754e-06,1.000000000000000000e+01,1.857870876147678027e-02,1.393706597325387042e-01,1.002374366496198575e-06,1.699641439417797634e-02
9.999910019070526346e+00,1.826589323897931083e-06,4.650057594023825125e+00,8.928964759694062170e-03,1.742196181822130152e-01,1.017800532119125974e-02,3.271506422240423595e-02
3.965607938302933566e-01,1.002325297661686775e-06,4.796228033065432328e+00,2.207472347037324478e-02,1.621514902520148071e-01,1.832218705133425215e-03,1.867697707117859166e-02
1.000000000000000000e+01,3.721526748535522084e-06,9.949834253985327948e+00,2.647616491227823207e-02,1.585815784965953767e-01,1.016260599614854253e-06,1.480450911591157589e-02
4.019161603595410304e-01,1.000003585392152897e-06,2.601202535292508777e+00,1.837102450701486034e-02,1.328485725265154405e-01,1.000005922183606934e-06,1.757731654236383695e-02
2.177004937612381674e+00,3.490889444605773971e-06,3.601278348926627015e-01,1.723117248024805259e-02,1.427711729363320692e-01,1.001958269928602671e-06,2.311846931241406597e-02
9.583905348325853168e+00,1.088876472945633572e-06,8.678630715165191134e+00,3.445826391039843312e-02,2.659196846091108624e-01,3.891207796965973943e-03,5.983321281205349583e-03
9.979828053838112112e+00,1.529105571775143871e-06,9.706405442453796439e+00,2.201747862743957951e-02,1.625596750984518168e-01,1.658004022031072527e-03,1.507801074349109788e-02
2.064677790928407808e-01,4.333128449347758941e-06,1.363081639585165705e+00,2.556922115763093223e-02,1.666434816568203026e-01,1.216438452867434983e-03,1.574495103440112093e-02
